Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time(s)
100,64,500,2,3,0.01,130000,13.0,0.009564178995788097,0.01371453795582056,0.09564178995788097,0.13714538514614105,5204,1043
100,64,500,2,3,0.01,150000,15.0,0.009158694185316563,0.008236763998866081,0.09158694185316563,0.08236764371395111,3768,894
100,64,500,2,3,0.01,170000,17.0,0.009924810379743576,0.010883080773055553,0.09924810379743576,0.10883080959320068,4904,1327
100,64,500,2,3,0.01,190000,19.0,0.009104494005441666,0.009479372762143612,0.09104494005441666,0.09479372948408127,4739,1430
100,64,500,2,3,0.01,30000,3.0,0.009237000718712807,0.013530751690268517,0.09237000718712807,0.13530752062797546,4949,286
100,64,500,2,3,0.01,50000,5.0,0.00988599844276905,0.019083615392446518,0.0988599844276905,0.19083616137504578,6553,574
100,64,500,2,3,0.01,70000,7.0,0.009071668609976768,0.009474062360823154,0.09071668609976768,0.0947406217455864,6808,780
100,64,500,2,3,0.01,90000,9.0,0.009623900055885315,0.011709143407642841,0.09623900055885315,0.11709143221378326,10340,1517
100,64,500,2,3,0.01,110000,11.0,0.009300614707171917,0.01202771533280611,0.09300614707171917,0.12027715146541595,6632,1163
100,64,500,2,3,0.01,130000,13.0,0.00989817176014185,0.01311243511736393,0.0989817176014185,0.131124347448349,6989,1428
100,64,500,2,3,0.01,150000,15.0,0.008782284334301949,0.01448663230985403,0.08782284334301949,0.14486631751060486,9202,2192
100,64,500,2,3,0.01,170000,17.0,0.009708072990179062,0.013797733932733536,0.09708072990179062,0.13797733187675476,5855,1506
100,64,500,2,3,0.01,190000,19.0,0.009919027797877789,0.015313423238694668,0.09919027797877789,0.15313422679901123,11437,3250
200,64,500,2,3,0.007071067811865475,50000,5.0,0.006114054936915636,0.010613313876092434,0.0864657941288027,0.1500949263572693,13179,1305
200,64,500,2,3,0.007071067811865475,70000,7.0,0.006930327042937279,0.008718563243746758,0.09800962495802927,0.12329910695552826,9255,1165
200,64,500,2,3,0.007071067811865475,10000,1.0,0.005968044511973858,0.011006243526935577,0.08440089489679749,0.15565179288387299,12833,270
200,64,500,2,3,0.007071067811865475,70000,7.0,0.006489373277872801,0.010646111331880093,0.09177359700869263,0.15055875480175018,13283,1634
200,64,500,2,3,0.007071067811865475,90000,9.0,0.007052995264530182,0.012041661888360977,0.09974441558451799,0.17029482126235962,11148,1720
200,64,500,2,3,0.007071067811865475,110000,11.0,0.006579458713531494,0.018165215849876404,0.09304759745750076,0.25689494609832764,9254,1675
200,64,500,2,3,0.007071067811865475,130000,13.0,0.0068580470979213715,0.009453474543988705,0.09698743217273849,0.13369232416152954,12353,2535
200,64,500,2,3,0.007071067811865475,150000,15.0,0.006730448920279741,0.007394721265882254,0.09518292143918965,0.10457715392112732,8501,2053
200,64,500,2,3,0.007071067811865475,190000,19.0,0.0069327810779213905,0.015003389678895473,0.09804433025359996,0.2121799737215042,11564,3673
200,64,500,2,3,0.007071067811865475,10000,1.0,0.006962702143937349,0.00907166674733162,0.09846747802720425,0.1282927393913269,14322,350
200,64,500,2,3,0.007071067811865475,30000,3.0,0.007004139479249716,0.008215473964810371,0.09905349044307776,0.11618434637784958,18198,1060
200,64,500,2,3,0.007071067811865475,10000,1.0,0.0069784726947546005,0.007072229869663715,0.09869050729572276,0.10001643747091293,8560,213
