n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
5,8,500,0.001,16,3,1000,32,100,0.11953038722276688
5,8,500,0.001,16,3,1000,64,100,0.11604822427034378
5,8,500,0.001,16,4,1000,32,100,0.12064001709222794
5,8,500,0.001,16,4,1000,64,100,0.11872730404138565
5,8,500,0.001,32,2,1000,32,100,0.12358521670103073
5,8,500,0.001,32,2,1000,64,100,0.12028667330741882
5,8,500,0.001,32,3,1000,32,100,0.12985749542713165
5,8,500,0.001,32,3,1000,64,100,0.13082361221313477
5,8,500,0.001,32,4,1000,32,100,0.1337168663740158
5,8,500,0.001,32,4,1000,64,100,0.12810897827148438
5,8,500,0.001,64,2,1000,32,100,0.13514472544193268
5,8,500,0.001,64,2,1000,64,100,0.12861528992652893
5,8,500,0.001,64,3,1000,32,100,0.15680277347564697
5,8,500,0.001,64,3,1000,64,100,0.14175114035606384
5,8,500,0.001,64,4,1000,32,100,0.1744186133146286
5,8,500,0.001,64,4,1000,64,100,0.15016965568065643
5,8,500,0.005,8,2,1000,32,100,0.11826974153518677
5,8,500,0.005,8,2,1000,64,100,0.12254233658313751
5,8,500,0.005,8,3,1000,32,100,0.12156381458044052
5,8,500,0.005,8,3,1000,64,100,0.12148668617010117
5,8,500,0.005,8,4,1000,32,100,0.12142051011323929
5,8,500,0.005,8,4,1000,64,100,0.1261010766029358
5,8,500,0.005,16,2,1000,32,100,0.1348002851009369
5,8,500,0.005,16,2,1000,64,100,0.12961164116859436
5,8,500,0.005,16,3,1000,32,100,0.15224000811576843
5,8,500,0.005,16,3,1000,64,100,0.13868874311447144
5,8,500,0.005,16,4,1000,32,100,0.14499753713607788
5,8,500,0.005,16,4,1000,64,100,0.1379176378250122
5,8,500,0.005,32,2,1000,32,100,0.15709705650806427
5,8,500,0.005,32,2,1000,64,100,0.15447524189949036
5,8,500,0.005,32,3,1000,32,100,0.18498264253139496
5,8,500,0.005,32,3,1000,64,100,0.16348785161972046
5,8,500,0.005,32,4,1000,32,100,0.18646268546581268
5,8,500,0.005,32,4,1000,64,100,0.1636475920677185
5,8,500,0.005,64,2,1000,32,100,0.17977643013000488
5,8,500,0.005,64,2,1000,64,100,0.17096121609210968
5,8,500,0.005,64,3,1000,32,100,0.19240665435791016
5,8,500,0.005,64,3,1000,64,100,0.18900562822818756
5,8,500,0.005,64,4,1000,32,100,0.19198478758335114
5,8,500,0.005,64,4,1000,64,100,0.19374676048755646
5,16,500,0.001,8,2,1000,32,100,0.12262837588787079
5,16,500,0.001,8,2,1000,64,100,0.12227537482976913
5,16,500,0.001,8,3,1000,32,100,0.12122868746519089
5,16,500,0.001,8,3,1000,64,100,0.12236030399799347
5,16,500,0.001,8,4,1000,32,100,0.12244296818971634
5,16,500,0.001,8,4,1000,64,100,0.12074596434831619
5,16,500,0.001,16,2,1000,32,100,0.12504546344280243
5,16,500,0.001,16,2,1000,64,100,0.12319592386484146
5,16,500,0.001,16,3,1000,32,100,0.125696063041687
5,16,500,0.001,16,3,1000,64,100,0.12336387485265732
5,16,500,0.001,16,4,1000,32,100,0.12400991469621658
5,16,500,0.001,16,4,1000,64,100,0.12491829693317413
5,16,500,0.001,32,2,1000,32,100,0.13221469521522522
5,16,500,0.001,32,2,1000,64,100,0.12663060426712036
5,16,500,0.001,32,3,1000,32,100,0.12944363057613373
5,16,500,0.001,32,3,1000,64,100,0.1273236870765686
5,16,500,0.001,32,4,1000,32,100,0.13484983146190643
5,16,500,0.001,32,4,1000,64,100,0.1275610625743866
5,16,500,0.001,64,2,1000,32,100,0.13862963020801544
5,16,500,0.001,64,2,1000,64,100,0.1320498287677765
5,16,500,0.001,64,3,1000,32,100,0.1492222100496292
