Input dim,Multiplier,Hidden dim,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
30,2,64,0.001,2,4,1338,0.04759041592478752,0.09028683602809906
30,2,64,0.001,2,6,1112,0.04886128380894661,0.09752105921506882
30,2,64,0.001,2,8,1012,0.04952072352170944,0.07080535590648651
30,2,64,0.001,2,10,995,0.04508671909570694,0.1290617138147354
30,2,64,0.001,2,12,1013,0.04740630462765694,0.08729856461286545
30,2,64,0.001,2,14,1070,0.049242474138736725,0.10224484652280807
30,2,64,0.001,2,16,1032,0.049187883734703064,0.07771580666303635
30,2,64,0.001,2,18,925,0.049856819212436676,0.08947356045246124
30,2,64,0.001,2,20,891,0.0479276068508625,0.21640180051326752
30,2,64,0.001,2,22,964,0.048026617616415024,0.11188329756259918
30,2,64,0.001,2,24,988,0.04252691939473152,0.11266937106847763
45,0,32,0.001,2,2,3388,0.049244217574596405,0.11834120005369186
45,0,32,0.001,2,4,1807,0.04912950098514557,0.07051299512386322
45,0,32,0.001,2,6,2479,0.04869502782821655,0.15640945732593536
45,0,32,0.001,2,8,2513,0.046373285353183746,0.07062068581581116
45,0,32,0.001,2,10,1662,0.04904033988714218,0.08709117770195007
45,0,32,0.001,2,12,1779,0.046885453164577484,0.055501166731119156
45,0,32,0.001,2,14,1720,0.04453884810209274,0.14888179302215576
45,0,32,0.001,2,16,1178,0.04941122233867645,0.0677354633808136
45,0,32,0.001,2,18,2127,0.04707992821931839,0.053082145750522614
45,0,32,0.001,2,20,2166,0.04701726511120796,0.0908467099070549
45,0,32,0.001,2,22,1389,0.049673065543174744,0.05888046696782112
45,0,32,0.001,2,24,1489,0.04982680827379227,0.09257929027080536
45,1,64,0.001,2,2,2849,0.04813108593225479,0.058025579899549484
45,1,64,0.001,2,4,1343,0.04849568009376526,0.05486923083662987
45,1,64,0.001,2,6,1647,0.0485643595457077,0.05935058742761612
45,1,64,0.001,2,8,1081,0.04750863462686539,0.19257321953773499
45,1,64,0.001,2,10,1381,0.04258511960506439,0.0764523521065712
45,1,64,0.001,2,12,1265,0.04782431572675705,0.11136475205421448
45,1,64,0.001,2,14,1201,0.04910600185394287,0.06746044754981995
45,1,64,0.001,2,16,1260,0.044626086950302124,0.07586714625358582
45,1,64,0.001,2,18,1288,0.04673255234956741,0.0661052018404007
45,1,64,0.001,2,20,1386,0.04323675483465195,0.08821016550064087
45,1,64,0.001,2,22,1468,0.047431446611881256,0.08654233813285828
45,1,64,0.001,2,24,1300,0.04521525651216507,0.09124698489904404
75,0,32,0.001,2,2,4527,0.048296645283699036,0.07806786894798279
75,0,32,0.001,2,4,4827,0.047671228647232056,0.07076885551214218
75,0,32,0.001,2,6,2051,0.04575938731431961,0.19112591445446014
75,0,32,0.001,2,8,4241,0.046256497502326965,0.06470642238855362
75,0,32,0.001,2,10,2194,0.049041152000427246,0.06630349159240723
75,0,32,0.001,2,12,1971,0.049335286021232605,0.10453534126281738
75,0,32,0.001,2,14,2375,0.048343904316425323,0.08835604041814804
75,0,32,0.001,2,16,2952,0.04964914917945862,0.09346811473369598
75,0,32,0.001,2,18,2691,0.048893317580223083,0.06156814098358154
75,0,32,0.001,2,20,3150,0.04889501631259918,0.05831234157085419
75,0,32,0.001,2,22,2586,0.04903154820203781,0.09520477056503296
