Input dim,Multiplier,Hidden dim r,Hidden dim fc,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
75,0,64,416,0.001,2,3,1199,0.046195827424526215,0.09677104651927948
75,0,64,448,0.001,2,3,1370,0.049349524080753326,0.060881055891513824
75,0,64,480,0.001,2,3,1273,0.04863832890987396,0.06067181006073952
75,0,64,512,0.001,2,3,1420,0.04972456395626068,0.046316422522068024
15,4,64,512,0.001,2,3,496,0.04965614527463913,0.05360506474971771
15,4,64,576,0.001,2,3,512,0.04848983883857727,0.051588546484708786
15,4,64,640,0.001,2,3,475,0.0480460450053215,0.13256460428237915
15,4,64,704,0.001,2,3,420,0.04801872745156288,0.05709629878401756
15,4,64,768,0.001,2,3,504,0.04399954155087471,0.06888619810342789
15,4,64,832,0.001,2,3,535,0.04862955957651138,0.0529622845351696
15,4,64,896,0.001,2,3,503,0.04882996156811714,0.16950465738773346
15,4,64,960,0.001,2,3,466,0.04700394719839096,0.10467083007097244
15,4,64,1024,0.001,2,3,490,0.047737814486026764,0.11008783429861069
50,1,64,512,0.001,2,3,989,0.04906950891017914,0.12837259471416473
50,1,64,576,0.001,2,3,837,0.04053138941526413,0.07328671962022781
50,1,64,640,0.001,2,3,813,0.049426086246967316,0.07077881693840027
50,1,64,704,0.001,2,3,843,0.04927370697259903,0.06347998976707458
50,1,64,768,0.001,2,3,822,0.04862391948699951,0.14541088044643402
50,1,64,832,0.001,2,3,953,0.04960433393716812,0.055010031908750534
50,1,64,896,0.001,2,3,1238,0.04704003781080246,0.07618232071399689
50,1,64,960,0.001,2,3,1019,0.048983924090862274,0.3457888662815094
50,1,64,1024,0.001,2,3,1090,0.04822377860546112,0.0694369524717331
75,0,64,512,0.001,2,3,1296,0.04684125632047653,0.0497879832983017
75,0,64,576,0.001,2,3,1290,0.04721064120531082,0.12811774015426636
75,0,64,640,0.001,2,3,1274,0.044039152562618256,0.04987544193863869
75,0,64,704,0.001,2,3,1385,0.041511401534080505,0.07356391847133636
75,0,64,768,0.001,2,3,1305,0.04890168458223343,0.06649424135684967
75,0,64,832,0.001,2,3,1402,0.049971483647823334,0.08861634880304337
75,0,64,896,0.001,2,3,1282,0.04837790131568909,0.135207399725914
75,0,64,960,0.001,2,3,1279,0.04497551918029785,0.08703460544347763
75,0,64,1024,0.001,2,3,1389,0.04879157990217209,0.08468328416347504
15,4,64,1024,0.001,2,3,442,0.0473833829164505,0.14188800752162933
15,4,64,1152,0.001,2,3,516,0.04972006008028984,0.10027667880058289
15,4,64,1280,0.001,2,3,529,0.04972969740629196,0.056772440671920776
15,4,64,1408,0.001,2,3,616,0.04952120780944824,0.09346386790275574
15,4,64,1536,0.001,2,3,503,0.045520804822444916,0.05814940482378006
15,4,64,1664,0.001,2,3,528,0.04618731886148453,0.13395154476165771
15,4,64,1792,0.001,2,3,508,0.045334745198488235,0.06501825153827667
15,4,64,1920,0.001,2,3,523,0.048193324357271194,0.056525181978940964
15,4,64,2048,0.001,2,3,474,0.04515237733721733,0.05100628733634949
50,1,64,1024,0.001,2,3,862,0.048244379460811615,0.05116341635584831
50,1,64,1152,0.001,2,3,1118,0.049845464527606964,0.12935230135917664
50,1,64,1280,0.001,2,3,1168,0.046468496322631836,0.15765458345413208
50,1,64,1408,0.001,2,3,1055,0.04910746216773987,0.0585842989385128
50,1,64,1536,0.001,2,3,1231,0.0490381121635437,0.08357160538434982
50,1,64,1664,0.001,2,3,1026,0.04981528967618942,0.054306916892528534
50,1,64,1792,0.001,2,3,968,0.04875051975250244,0.22124455869197845
50,1,64,1920,0.001,2,3,1053,0.044165223836898804,0.09083119034767151
50,1,64,2048,0.001,2,3,961,0.04374781996011734,0.05507649853825569
75,0,64,1024,0.001,2,3,1474,0.044953130185604095,0.07109062373638153
75,0,64,1152,0.001,2,3,1676,0.04636988788843155,0.2188156098127365
75,0,64,1280,0.001,2,3,1460,0.04737990349531174,0.09299562126398087
75,0,64,1408,0.001,2,3,1567,0.04961330443620682,0.12213798612356186
75,0,64,1536,0.001,2,3,1802,0.04444543272256851,0.06260184943675995
75,0,64,1664,0.001,2,3,1587,0.04988332837820053,0.07357343286275864
75,0,64,1792,0.001,2,3,1739,0.04863666743040085,0.08289116621017456
75,0,64,1920,0.001,2,3,1967,0.044359736144542694,0.27386775612831116
75,0,64,2048,0.001,2,3,1811,0.044796302914619446,0.09669075906276703
