Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers,Dataset size,Train Loss,Test Loss,Epochs
200,10,0.75,15000000,14998044,2908,"2908,2181,1636,1227,920,690,518,388,291,218",10000,0.009705985896289349,0.20143942534923553,7839
300,2,0.75,50000000,49998900,7967,"7967,5975",10000,0.0087360180914402,0.18826772272586823,3707
300,2,0.75,50000000,49998900,7967,"7967,5975",10000,0.009173172526061535,0.2160283476114273,3843
300,2,0.75,50000000,49998900,7967,"7967,5975",10000,0.009982621297240257,0.19798342883586884,3926
300,3,0.75,50000000,50003535,6405,"6405,4804,3603",10000,0.0067370580509305,0.20101304352283478,5044
300,3,0.75,50000000,50003535,6405,"6405,4804,3603",10000,0.009708503261208534,0.21193192899227142,4922
300,3,0.75,50000000,50003535,6405,"6405,4804,3603",10000,0.009278394281864166,0.21313102543354034,4873
300,4,0.75,50000000,49995052,5851,"5851,4388,3291,2468",10000,0.007966765202581882,0.19901303946971893,5503
300,4,0.75,50000000,49995052,5851,"5851,4388,3291,2468",10000,0.009123705327510834,0.210292249917984,5972
300,4,0.75,50000000,49995052,5851,"5851,4388,3291,2468",10000,0.009460488334298134,0.19570310413837433,5148
300,5,0.75,50000000,49997395,5597,"5597,4197,3148,2361,1771",10000,0.008734283037483692,0.18723538517951965,6389
300,5,0.75,50000000,49997395,5597,"5597,4197,3148,2361,1771",10000,0.008111205883324146,0.1975633054971695,5413
300,5,0.75,50000000,49997395,5597,"5597,4197,3148,2361,1771",10000,0.009455496445298195,0.19223199784755707,5501
300,6,0.75,50000000,50001084,5467,"5467,4101,3075,2307,1730,1297",10000,0.006347076967358589,0.22799797356128693,6995
300,6,0.75,50000000,50001084,5467,"5467,4101,3075,2307,1730,1297",10000,0.008429155685007572,0.18092100322246552,7411
300,6,0.75,50000000,50001084,5467,"5467,4101,3075,2307,1730,1297",10000,0.009602333419024944,0.1809745877981186,7405
300,7,0.75,50000000,50006124,5399,"5399,4049,3037,2278,1708,1281,961",10000,0.007496516220271587,0.1800754815340042,7740
300,7,0.75,50000000,50006124,5399,"5399,4049,3037,2278,1708,1281,961",10000,0.009081970900297165,0.19409030675888062,8870
300,7,0.75,50000000,50006124,5399,"5399,4049,3037,2278,1708,1281,961",10000,0.0085715651512146,0.195370152592659,7760
300,8,0.75,50000000,50005341,5361,"5361,4021,3016,2262,1696,1272,954,716",10000,0.009751034900546074,0.18405452370643616,8834
300,8,0.75,50000000,50005341,5361,"5361,4021,3016,2262,1696,1272,954,716",10000,0.00961378961801529,0.18163515627384186,9463
300,8,0.75,50000000,50005341,5361,"5361,4021,3016,2262,1696,1272,954,716",10000,0.008331330493092537,0.20999576151371002,8982
300,9,0.75,50000000,49999522,5340,"5340,4005,3004,2253,1690,1267,950,713,535",10000,0.007224926259368658,0.22379039227962494,8621
300,9,0.75,50000000,49999522,5340,"5340,4005,3004,2253,1690,1267,950,713,535",10000,0.009886661544442177,0.21215806901454926,9200
300,9,0.75,50000000,49999522,5340,"5340,4005,3004,2253,1690,1267,950,713,535",10000,0.007464890368282795,0.21630078554153442,9143
300,10,0.75,50000000,49995381,5329,"5329,3996,2997,2248,1686,1265,948,711,533,400",10000,0.009344502352178097,0.2584817111492157,7265
300,10,0.75,50000000,49995381,5329,"5329,3996,2997,2248,1686,1265,948,711,533,400",10000,0.009676044806838036,0.22956253588199615,7676
