Input dim,Multiplier,Hidden dim,Lr,Layers r,Layers fc,Epochs,Loss,Validation loss
15,2,32,0.001,8,2,3880,0.049904439598321915,0.07579690963029861
15,2,32,0.001,10,2,15000,0.5253713130950928,0.6195360422134399
15,2,32,0.001,12,2,6477,0.04822984337806702,0.10814674198627472
15,2,32,0.001,14,2,15000,0.4939119219779968,0.5308001637458801
15,2,32,0.001,16,2,15000,0.41386714577674866,0.5591035485267639
15,2,32,0.001,18,2,15000,0.4987606108188629,0.5020245909690857
30,1,32,0.001,2,2,3191,0.04702255502343178,0.08811784535646439
30,1,32,0.001,4,2,3154,0.047331202775239944,0.06095077469944954
30,1,32,0.001,6,2,9153,0.049170222133398056,0.0586424395442009
30,1,32,0.001,8,2,15000,0.5462799072265625,0.6040790677070618
30,1,32,0.001,10,2,15000,0.5059605240821838,0.5070942044258118
30,1,32,0.001,12,2,15000,0.5302810072898865,0.5215492248535156
30,1,32,0.001,14,2,15000,0.6169275045394897,0.5513742566108704
45,0,32,0.001,2,2,4418,0.0493951290845871,0.07891952246427536
45,0,32,0.001,4,2,9143,0.048926979303359985,0.06471452862024307
45,0,32,0.001,6,2,15000,0.5148789882659912,0.6090246438980103
45,0,32,0.001,8,2,15000,0.43945932388305664,0.5273641347885132
45,0,32,0.001,10,2,15000,0.5351874232292175,0.5421790480613708
45,0,32,0.001,12,2,15000,0.5265989303588867,0.5644704699516296
75,0,32,0.001,2,2,5282,0.04827830195426941,0.14323993027210236
75,0,32,0.001,4,2,12776,0.044221773743629456,0.0705898255109787
75,0,32,0.001,6,2,15000,0.5603347420692444,0.5424610376358032
75,0,32,0.001,8,2,15000,0.5405998229980469,0.5357978343963623
75,0,32,0.001,10,2,15000,0.558883011341095,0.4640822112560272
15,4,64,0.001,2,2,781,0.048337485641241074,0.07083296775817871
15,4,64,0.001,4,2,804,0.04896226525306702,0.06680730730295181
15,4,64,0.001,6,2,1555,0.044635046273469925,0.09063932299613953
15,4,64,0.001,8,2,15000,0.558657705783844,0.5270743370056152
15,4,64,0.001,10,2,15000,0.6223194003105164,0.553270161151886
15,4,64,0.001,12,2,6209,0.046389296650886536,0.08179597556591034
15,4,64,0.001,14,2,15000,0.4508061707019806,0.5664527416229248
15,4,64,0.001,16,2,15000,0.4880848824977875,0.5270593166351318
30,2,64,0.001,2,2,1932,0.04856551066040993,0.0763394683599472
30,2,64,0.001,4,2,2629,0.044576648622751236,0.052532587200403214
30,2,64,0.001,6,2,15000,0.5738402009010315,0.4985421895980835
30,2,64,0.001,8,2,15000,0.5748076438903809,0.4879162311553955
45,1,64,0.001,2,2,2450,0.048474207520484924,0.07884521782398224
45,1,64,0.001,4,2,15000,0.5407221913337708,0.5964491963386536
45,1,64,0.001,6,2,15000,0.5674188137054443,0.5748353004455566
45,1,64,0.001,8,2,15000,0.5504388809204102,0.5477797985076904
45,1,64,0.001,10,2,15000,0.4832560122013092,0.459118127822876
