n,learning_rate,hidden_dim,layers_num,batch_size,epochs,weight_decay,granulation,loss_tolerance,dataset_size,granulation_mode,epsilon,test_loss,test_normal_loss
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.05,3.292380213737488,1.646190106868744
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.1,3.4311821460723877,1.7155910730361938
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.2,3.8890079259872437,1.9445039629936218
7,0.01,32,3,64,250,0.0001,4,0.0,16807,False,0.0,1.244385041296482,0.08888464580689158
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.0,18.55474865436554,1.3253391895975386
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.05,18.51844620704651,1.3227461576461792
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.1,24.513783812522888,1.750984558037349
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.2,27.769792556762695,1.9835566111973353
5,0.01,32,3,64,100,0.0001,5,0.0,15625,False,0.0,0.4753885939717293,0.036568353382440716
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.0,7.783467024564743,0.5987282326588264
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.05,7.249986886978149,0.5576912989983192
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.1,11.230066239833832,0.8638512492179871
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.2,11.957210838794708,0.9197854491380545
6,0.01,32,3,64,100,0.0001,5,0.0,46656,False,0.0,1.9474110938608646,0.05263273226650986
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.0,40.28864151239395,1.0888822030376744
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.05,41.35678178071976,1.1177508589383718
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.1,46.13941013813019,1.2470110848143294
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.2,56.32353949546814,1.5222578242018416
7,0.01,32,3,64,100,0.0001,5,0.0,117649,False,0.0,3.950643077492714,0.04294177258144254
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.0,148.47397375106812,1.6138475407724795
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.05,158.65970993041992,1.7245620644610862
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.1,205.29166650772095,2.231431157692619
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.2,212.29309511184692,2.307533642520075
