Input dim,Multiplier,Hidden dim,Lr,Layers fc,Epochs,Loss
20,2,56,0.001,2,896,0.04958697780966759
20,3,60,0.001,2,703,0.04328432306647301
20,3,64,0.001,2,934,0.04599837586283684
20,3,72,0.001,2,1004,0.045423559844493866
20,4,80,0.001,2,759,0.043969281017780304
20,4,88,0.001,2,830,0.04869774356484413
20,4,96,0.001,2,683,0.0493796281516552
20,5,104,0.001,2,806,0.045208290219306946
20,5,112,0.001,2,699,0.048883914947509766
20,6,120,0.001,2,784,0.04349728673696518
20,6,128,0.001,2,748,0.04883289337158203
20,3,72,0.001,2,941,0.04892594739794731
20,4,80,0.001,2,801,0.04864729195833206
20,4,88,0.001,2,671,0.045873574912548065
20,4,96,0.001,2,728,0.040834277868270874
20,5,104,0.001,2,736,0.04855010285973549
20,5,112,0.001,2,658,0.04706544429063797
20,6,120,0.001,2,731,0.04596361517906189
20,6,128,0.001,2,638,0.040426790714263916
20,3,72,0.001,2,865,0.049718134105205536
20,4,80,0.001,2,891,0.0464797168970108
20,4,88,0.001,2,742,0.049770552664995193
20,4,96,0.001,2,663,0.04635241627693176
20,5,104,0.001,2,801,0.04177403822541237
20,5,112,0.001,2,604,0.04612007737159729
20,6,120,0.001,2,697,0.04368853569030762
20,6,128,0.001,2,691,0.049053795635700226
20,7,144,0.001,2,684,0.04724503681063652
20,8,160,0.001,2,634,0.04859788343310356
20,8,176,0.001,2,643,0.03837275132536888
20,9,192,0.001,2,645,0.041532568633556366
20,10,208,0.001,2,652,0.04500414431095123
20,11,224,0.001,2,587,0.04764602333307266
20,12,240,0.001,2,649,0.04529234766960144
20,12,256,0.001,2,705,0.03695090860128403
20,7,144,0.001,2,636,0.048780396580696106
20,8,160,0.001,2,603,0.049197643995285034
20,8,176,0.001,2,662,0.04452439397573471
20,9,192,0.001,2,699,0.0497107207775116
20,10,208,0.001,2,610,0.049882955849170685
20,11,224,0.001,2,565,0.04710859805345535
20,12,240,0.001,2,597,0.04956194385886192
20,12,256,0.001,2,587,0.04047035425901413
20,7,144,0.001,2,713,0.0493636280298233
20,8,160,0.001,2,691,0.046121396124362946
20,8,176,0.001,2,627,0.04928283020853996
20,9,192,0.001,2,641,0.045981500297784805
20,10,208,0.001,2,676,0.039367638528347015
20,11,224,0.001,2,591,0.047308482229709625
20,12,240,0.001,2,617,0.047810059040784836
20,12,256,0.001,2,653,0.04660584032535553
